seq_num,send_time,recv_time,transit_delay,moving_delay,jitter,playout_target
0,1000,1050,50,50.0,1.0,54.0
1,1001,1051,50,50.0,1.0,54.0
2,1002,1052,50,50.0,1.0,54.0
3,1003,1053,50,50.0,1.0,54.0
4,1004,1054,50,50.0,1.0,54.0
5,1005,1055,50,50.0,1.0,54.0
6,1006,1056,50,50.0,1.0,54.0
7,1007,1057,50,50.0,1.0,54.0
8,1008,1058,50,50.0,1.0,54.0
9,1009,1059,50,50.0,1.0,54.0
10,1010,1060,50,50.0,1.0,54.0
11,1011,1061,50,50.0,1.0,54.0
12,1012,1062,50,50.0,1.0,54.0
13,1013,1063,50,50.0,1.0,54.0
14,1014,1064,50,50.0,1.0,54.0
15,1015,1065,50,50.0,1.0,54.0
16,1016,1066,50,50.0,1.0,54.0
17,1017,1067,50,50.0,1.0,54.0
18,1018,1068,50,50.0,1.0,54.0
19,1019,1069,50,50.0,1.0,54.0
20,1020,1070,50,50.0,1.0,54.0
21,1021,1071,50,50.0,1.0,54.0
22,1022,1072,50,50.0,1.0,54.0
23,1023,1073,50,50.0,1.0,54.0
24,1024,1074,50,50.0,1.0,54.0
25,1025,1075,50,50.0,1.0,54.0
26,1026,1076,50,50.0,1.0,54.0
27,1027,1077,50,50.0,1.0,54.0
28,1028,1078,50,50.0,1.0,54.0
29,1029,1079,50,50.0,1.0,54.0
30,1030,1080,50,50.0,1.0,54.0
31,1031,1081,50,50.0,1.0,54.0
32,1032,1082,50,50.0,1.0,54.0
33,1033,1083,50,50.0,1.0,54.0
34,1034,1084,50,50.0,1.0,54.0
35,1035,1085,50,50.0,1.0,54.0
36,1036,1086,50,50.0,1.0,54.0
37,1037,1087,50,50.0,1.0,54.0
38,1038,1088,50,50.0,1.0,54.0
39,1039,1089,50,50.0,1.0,54.0
40,1040,1090,50,50.0,1.0,54.0
41,1041,1091,50,50.0,1.0,54.0
42,1042,1092,50,50.0,1.0,54.0
43,1043,1093,50,50.0,1.0,54.0
44,1044,1094,50,50.0,1.0,54.0
45,1045,1095,50,50.0,1.0,54.0
46,1046,1096,50,50.0,1.0,54.0
47,1047,1097,50,50.0,1.0,54.0
48,1048,1098,50,50.0,1.0,54.0
49,1049,1099,50,50.0,1.0,54.0
